Name,Time,Cumulative PnL
OfiStrategy,2022-May-02 18:03:45.104579,444204.868099
OfiStrategy,2022-May-02 18:04:45.238081,470132.468099
OfiStrategy,2022-May-02 18:05:45.260645,521987.668099
OfiStrategy,2022-May-02 18:06:45.692055,586806.668099
OfiStrategy,2022-May-02 18:07:45.812663,628939.018099
OfiStrategy,2022-May-02 18:08:46.026414,444204.868099
OfiStrategy,2022-May-02 18:09:46.133364,324289.718099
OfiStrategy,2022-May-02 18:10:46.196854,291880.218099
OfiStrategy,2022-May-02 18:11:46.247610,220579.318099
OfiStrategy,2022-May-02 18:12:46.402267,47064.848099
OfiStrategy,2022-May-02 18:13:46.478418,-76587.301901
OfiStrategy,2022-May-02 18:14:46.586299,-120032.651901
OfiStrategy,2022-May-02 18:15:46.756244,-200239.451901
OfiStrategy,2022-May-02 18:16:47.178731,-176845.801901
OfiStrategy,2022-May-02 18:17:47.287838,-190213.601901
OfiStrategy,2022-May-02 18:18:47.340865,-154000.953901
OfiStrategy,2022-May-02 18:19:48.043924,-283885.823501
OfiStrategy,2022-May-02 18:20:48.276578,-254704.807901
OfiStrategy,2022-May-02 18:21:48.393044,-193829.307901
OfiStrategy,2022-May-02 18:22:48.528840,-167739.807901
OfiStrategy,2022-May-02 18:23:48.740698,62717.442099
OfiStrategy,2022-May-02 18:24:48.808560,19234.942099
OfiStrategy,2022-May-02 18:25:48.903044,-119909.057901
OfiStrategy,2022-May-02 18:26:48.990784,-37292.307901
OfiStrategy,2022-May-02 18:27:49.345880,27931.442099
OfiStrategy,2022-May-02 18:28:49.498717,-80774.807901
OfiStrategy,2022-May-02 18:29:49.571169,-50337.057901
OfiStrategy,2022-May-02 18:30:49.637613,-163391.557901
OfiStrategy,2022-May-02 18:31:49.805658,-106864.307901
OfiStrategy,2022-May-02 18:32:50.016731,-24247.557901
OfiStrategy,2022-May-02 18:33:50.131490,140985.942099
OfiStrategy,2022-May-02 18:34:50.249619,71413.942099
OfiStrategy,2022-May-02 18:35:50.327123,-54685.307901
OfiStrategy,2022-May-02 18:36:50.579979,-189481.057901
OfiStrategy,2022-May-02 18:37:50.620016,-67730.057901
OfiStrategy,2022-May-02 18:38:50.891015,62717.442099
OfiStrategy,2022-May-02 18:39:51.034366,-32944.057901
OfiStrategy,2022-May-02 18:40:51.116297,-32944.057901
OfiStrategy,2022-May-02 18:41:51.189808,-106864.307901
OfiStrategy,2022-May-02 18:42:51.347552,-298382.272701
OfiStrategy,2022-May-02 18:43:51.515823,-575092.892701
OfiStrategy,2022-May-02 18:44:51.812997,-458657.352701
OfiStrategy,2022-May-02 18:45:51.857743,-6350.062701
OfiStrategy,2022-May-02 18:46:52.014342,-10828.352701
OfiStrategy,2022-May-02 18:47:52.083405,65525.777299
OfiStrategy,2022-May-02 18:48:52.283805,61032.487299
OfiStrategy,2022-May-02 18:49:52.380197,43059.327299
OfiStrategy,2022-May-02 18:50:52.415179,-77257.959901
OfiStrategy,2022-May-02 18:51:52.519408,-67880.259901
OfiStrategy,2022-May-02 18:52:52.640161,194645.611699
OfiStrategy,2022-May-02 18:53:52.726323,495736.484499
OfiStrategy,2022-May-02 18:54:52.811002,357452.044499
OfiStrategy,2022-May-02 18:55:52.904652,263616.174499
OfiStrategy,2022-May-02 18:56:52.946160,-56685.155901
OfiStrategy,2022-May-02 18:57:53.153180,-71804.105901
OfiStrategy,2022-May-02 18:58:53.218319,-97002.355901
OfiStrategy,2022-May-02 18:59:53.321178,-137332.984701
OfiStrategy,2022-May-02 19:00:53.361202,180972.095299
OfiStrategy,2022-May-02 19:01:53.387851,266883.975299
OfiStrategy,2022-May-02 19:02:53.504897,34324.655299
OfiStrategy,2022-May-02 19:03:53.574405,331418.215299
OfiStrategy,2022-May-02 19:04:53.649462,563872.015299
OfiStrategy,2022-May-02 19:05:53.802236,739503.775299
OfiStrategy,2022-May-02 19:06:53.911854,749835.055299
OfiStrategy,2022-May-02 19:07:53.955346,847982.215299
OfiStrategy,2022-May-02 19:08:53.966286,744669.415299
OfiStrategy,2022-May-02 19:09:54.012103,1266399.055299
OfiStrategy,2022-May-02 19:10:54.104525,1297392.895299
OfiStrategy,2022-May-02 19:11:54.237523,1550509.255299
OfiStrategy,2022-May-02 19:12:54.319079,1705478.455299
OfiStrategy,2022-May-02 19:13:54.497703,2030913.775299
OfiStrategy,2022-May-02 19:14:54.580173,2010251.215299
OfiStrategy,2022-May-02 19:15:54.633318,2020582.495299
OfiStrategy,2022-May-02 19:16:54.874136,1943097.895299
OfiStrategy,2022-May-02 19:17:54.948165,1751969.215299
OfiStrategy,2022-May-02 19:18:55.032496,2067073.255299
OfiStrategy,2022-May-02 19:19:55.061959,2098067.095299
OfiStrategy,2022-May-02 19:20:55.106323,2392508.575299
OfiStrategy,2022-May-02 19:21:55.363127,2542312.135299
OfiStrategy,2022-May-02 19:22:55.637732,2475158.815299
OfiStrategy,2022-May-02 19:23:55.689164,2630128.015299
OfiStrategy,2022-May-02 19:24:55.731201,2945232.055299
OfiStrategy,2022-May-02 19:25:55.759298,2805759.775299
OfiStrategy,2022-May-02 19:26:55.838310,2790262.855299
OfiStrategy,2022-May-02 19:27:55.974388,2991722.815299
OfiStrategy,2022-May-02 19:28:56.096291,2883244.375299
OfiStrategy,2022-May-02 19:29:56.194304,2810925.415299
OfiStrategy,2022-May-02 19:30:56.227977,3280998.655299
OfiStrategy,2022-May-02 19:31:56.567087,3518618.095299
OfiStrategy,2022-May-02 19:32:56.649868,3544446.295299
OfiStrategy,2022-May-02 19:33:56.658991,3528949.375299
OfiStrategy,2022-May-02 19:34:56.810650,3689084.215299
OfiStrategy,2022-May-02 19:35:56.930931,3637427.815299
OfiStrategy,2022-May-02 19:36:56.968079,3420470.935299
OfiStrategy,2022-May-02 19:37:57.065829,3115698.175299
OfiStrategy,2022-May-02 19:38:57.164087,3244839.175299
OfiStrategy,2022-May-02 19:39:57.297498,3203514.055299
OfiStrategy,2022-May-02 19:40:57.338337,3260336.095299
OfiStrategy,2022-May-02 19:41:57.393092,3451464.775299
OfiStrategy,2022-May-02 19:42:57.554703,3518618.095299
OfiStrategy,2022-May-02 19:43:57.571223,3151857.655299
OfiStrategy,2022-May-02 19:44:57.601911,2702446.975299
OfiStrategy,2022-May-02 19:45:57.683064,3058876.135299
OfiStrategy,2022-May-02 19:46:57.748868,3353317.615299
OfiStrategy,2022-May-02 19:47:57.761730,3513452.455299
OfiStrategy,2022-May-02 19:48:57.897860,3363648.895299
OfiStrategy,2022-May-02 19:49:57.922193,3627096.535299
OfiStrategy,2022-May-02 19:50:57.970928,3637427.815299
OfiStrategy,2022-May-02 19:51:58.008227,3916372.375299
OfiStrategy,2022-May-02 19:52:58.013465,3916372.375299
OfiStrategy,2022-May-02 19:53:58.329628,4092004.135299
OfiStrategy,2022-May-02 19:54:58.516935,4035182.095299
OfiStrategy,2022-May-02 19:55:58.576961,4045513.375299
OfiStrategy,2022-May-02 19:56:58.717483,4009353.895299
OfiStrategy,2022-May-02 19:57:58.951159,4081672.855299
OfiStrategy,2022-May-02 19:58:59.002642,4112666.695299
OfiStrategy,2022-May-02 19:59:59.054533,4035182.095299
OfiStrategy,2022-May-02 20:03:26.458134,4035182.095299
OfiStrategy,2022-May-02 20:04:36.802639,4035182.095299
OfiStrategy,2022-May-02 20:05:38.396329,4035182.095299
OfiStrategy,2022-May-02 20:06:45.461126,4035182.095299
OfiStrategy,2022-May-02 20:08:41.994109,4035182.095299
OfiStrategy,2022-May-02 20:09:55.650003,4035182.095299
OfiStrategy,2022-May-02 20:10:56.013125,4035182.095299
OfiStrategy,2022-May-02 20:12:10.959250,4035182.095299
OfiStrategy,2022-May-02 20:14:20.493092,4035182.095299
OfiStrategy,2022-May-02 20:16:04.347177,4035182.095299
